brand,model,modification,cylinders,powerHp,engineVolume,transmissionType,transmissionSpeeds,baseCityNorm,baseHighwayNorm,fuelType,vehicleType,baseCombinedNorm,testCycle,normSource,sourceRef,publicTime,energyType,driveType,aliasCn,brandCn,region,phaseLow,phaseMid,phaseHigh,phaseExtra,electricKwh,co2,drivingRange,mass
Scania,OmniExpress LK310IB,49 мест,5L,310.0,8.867,MT,8,28.5,24.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniExpress LK310TB,50 мест,5L,310.0,8.867,MT,8,23.7,20.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniExpress LK340EB,53 мест,6L,340.0,11.705,MT,8,25.5,21.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniLine IK95IB,50 мест,5L,310.0,8.867,MT,8,27.6,23.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniLine IK95IB,51 мест,6L,269.0,8.867,MT,7,33.7,28.6,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniLine IL94IB 4x2/300,52 мест,6L,300.0,8.974,MT,7,29.1,24.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniLink CK95UB,122 мест,5L,230.0,8.867,AT,5,41.1,34.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniLink CL94UB,39 мест,5L,230.0,8.867,AT,5,34.7,29.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Scania,OmniLink СК950 B,84 мест,5L,230.0,8.867,AT,5,36.9,31.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Shenlong,SLK6126F1A,43 мест,6L,310.0,8.867,MT,6,35.4,30.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Shenlong,SLK6798F1A,30 мест,4L,180.0,5.202,MT,5,24.4,20.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ssang Yong,Istana 2.9D,15 мест,4L,103.0,2.874,MT,5,14.6,12.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Ssang Yong,Transstar 9.6D,46 мест,6V,290.0,9.572,MT,5,30.8,26.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Toyota,Hi Ace 2.7,15 мест,4L,151.0,2.694,MT,5,13.8,12.4,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Toyota,Hi Ace 2.7 4WD,10 мест,4L,152.0,2.694,AT,4,14.0,12.6,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Toyota,Hi Ace 3.0D,13 мест,4L,90.0,2.985,MT,5,11.1,9.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Toyota,Hi Ace 3.0D,11 мест,4L,90.0,2.985,MT,5,10.3,8.8,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Toyota,Hi Ace 3.0D 4WD,12 мест,4L,130.0,2.983,AT,4,14.4,12.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Toyota,Hi Ace 3.0D 4WD,8 мест,4L,130.0,2.983,AT,4,14.2,12.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,32901-0000010,18 мест,6L,130.0,5.675,MT,5,22.5,19.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,5270-0000010,97 мест,6L,290.0,6.872,AT,6,38.7,32.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,5270-0000020-06,33 мест,6L,285.0,7.146,AT,6,41.7,35.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,5270-0000020-06,41 мест,6L,286.0,7.146,AT,4,38.9,33.1,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,5270-0000020-06,104 мест,6L,286.0,7.146,AT,6,41.4,35.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,52701-000001-06,41 мест,6L,286.0,7.146,AT,6,36.9,31.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,52701-10-06,46 мест,6L,265.0,7.146,MT,6,33.2,28.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,52702-000001-02,45 мест,6V,230.0,11.15,MT,5,39.0,33.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,52702-000001-06,41 мест,6L,285.0,7.146,MT,5,35.9,30.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volgabus,6270-10,125 мест,6L,300.0,8.97,AT,5,50.5,42.9,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 1.9TD,8 мест,4L,105.0,1.896,MT,5,9.1,7.7,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 2.0,9 мест,4L,116.0,1.984,MT,5,11.9,10.7,Б,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 2.0TD,10 мест,4L,140.0,1.968,DSG,7,9.6,8.2,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 2.0TDI,9 мест,4L,102.0,1.968,MT,5,9.4,8.0,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 2.0TDI 4Motion,8 мест,4L,140.0,1.968,MT,6,8.8,7.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 2.5TD,9 мест,5L,131.0,2.461,AT,6,11.2,9.5,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
Volkswagen,Caravelle 2.5TDI,8 мест,5L,174.0,2.461,MT,6,9.9,8.4,Д,Bus,,,FuelMaster,,,,,,,,,,,,,,,
